技术分,估值分位,估值分,未来收益
74.9,75.89041095890411,35.698630136986296,1.5294117647058902
62.0,96.24853458382181,15.751465416178192,-19.618834080717484
75.4,71.91358024691358,39.27777777777778,-10.526315789473683
53.7,98.72029250457038,13.27970749542962,-10.904872389791176
59.2,99.09315746084089,12.906842539159115,8.551068883610458
67.2,7.786885245901639,94.15983606557377,34.445446348061324
62.2,39.509536784741144,68.41689373297002,-1.8531717747683585
63.8,5.1440329218107,96.14197530864197,46.35627530364373
53.4,51.967213114754095,57.22950819672131,-3.271983640081788
66.8,8.904109589041095,93.32191780821918,-15.696245076039661
59.4,9.730363423212191,92.70222743259086,-30.652368185880253
68.2,5.761316872427984,95.67901234567901,-9.047616288147541
55.3,19.195612431444243,85.60329067641682,0.9009009009008917
64.4,20.115416323165704,84.90189612530915,43.219264892268704
64.9,54.91803278688525,54.57377049180327,-10.994764397905765
60.2,54.91803278688525,54.57377049180327,42.567567567567565
46.9,54.91803278688525,54.57377049180327,38.13104888739702
75.5,0.0,100.0,0.42016806722691147
65.0,17.770034843205575,86.67247386759581,-24.583333333333325
73.1,3.6945812807881775,97.22906403940887,-17.14285714285715
28.8,74.24242424242425,37.18181818181817,39.14590747330961
62.3,25.965996908809892,79.92890262751159,9.289617486338786
61.1,31.147540983606557,75.52459016393442,-6.387434554973814
52.6,63.76021798365122,46.6158038147139,2.541047693510534
71.5,2.05761316872428,98.45679012345678,5.7550644567219145
56.2,44.91803278688525,63.57377049180327,16.801437556154532
62.7,90.82191780821918,21.178082191780817,17.06491860683048
71.7,45.48651817116061,63.06213364595545,10.127504553734056
65.2,19.34156378600823,85.49382716049382,-32.54521531626592
31.5,45.61243144424132,62.948811700182816,-1.5948422124194117
64.1,25.14427040395713,80.62737015663645,3.009417376174861
45.3,84.42622950819673,27.573770491803273,-4.714640198511177
65.9,5.722070844686648,95.70844686648502,-17.056856187290958
72.5,2.05761316872428,98.45679012345678,-7.1839103320459845
56.6,15.081967213114755,88.68852459016394,21.31868131868131
58.4,38.49315068493151,69.28082191780823,-5.603523051662329
73.1,18.757327080890974,85.93200468933176,-24.02791625124626
74.4,0.6172839506172839,99.53703703703704,-12.395329589772874
47.9,16.36197440585009,87.72851919561244,-9.275730622617528
47.9,28.854080791426217,77.47403132728772,5.886732954048846
39.6,91.80327868852459,20.196721311475414,12.097884771866152
57.4,88.8283378746594,23.171662125340603,-13.605442176870753
61.2,11.934156378600823,91.04938271604938,10.42065009560229
62.7,19.836065573770494,85.12295081967213,11.06074342701724
22.5,99.45205479452055,12.54794520547945,-30.476276789561606
67.8,71.39507620164126,39.744431418522865,-6.593406593406581
69.7,41.04938271604938,67.05555555555556,-11.945625603059117
31.4,93.6928702010969,18.307129798903105,-10.952380952380947
73.2,44.847485572959606,63.63726298433635,18.193578387418285
54.3,84.42622950819673,27.573770491803273,20.270270270270284
30.4,98.09264305177112,13.90735694822888,-35.483870967741936
59.3,40.534979423868315,67.51851851851852,18.825561312607952
56.8,45.24590163934426,63.278688524590166,-1.8099547511312264
73.2,14.246575342465754,89.31506849315069,-2.6666666666666727
70.4,10.902696365767877,91.8229777256741,-20.493358633776094
70.0,0.51440329218107,99.6141975308642,-16.267942583732054
43.9,17.184643510054844,87.11151736745887,-6.465517241379326
48.3,28.359439406430337,77.89447650453421,27.201565557729946
47.4,65.57377049180327,44.98360655737705,19.80726319774817
72.3,61.85286103542234,48.33242506811989,26.036866359446996
58.9,69.54732510288066,41.407407407407405,0.27167750347223407
64.4,31.147540983606557,75.52459016393442,-1.439645625692132
63.0,3.8356164383561646,97.12328767123287,9.297665350022655
67.7,3.751465416178194,97.18640093786635,-14.5993413830955
68.7,0.6172839506172839,99.53703703703704,-16.12843259691863
47.2,12.431444241316271,90.6764168190128,-11.335012594458437
61.4,12.61335531739489,90.53998351195384,16.987872747823786
69.3,22.950819672131146,82.49180327868852,25.82033351264119
59.9,70.57220708446866,40.485013623978205,-12.20264317180616
59.7,14.40329218106996,89.19753086419753,5.08259212198221
64.0,27.377049180327866,78.72950819672131,-3.0327788025365177
74.5,10.684931506849315,91.98630136986301,-8.248730964466999
72.7,5.275498241500586,96.04337631887456,7.864357864357863
62.7,37.65432098765432,69.99382716049382,-12.896053362979432
46.7,98.81170018281536,13.188299817184642,1.525215252152523
71.7,88.70568837592745,23.29431162407255,32.74048096192386
68.7,13.559322033898304,89.83050847457628,-10.54925893635571
70.7,4.149377593360995,96.88796680497926,14.310549894677083
67.2,4.444444444444445,96.66666666666667,-14.790575916230363
64.0,9.090909090909092,93.18181818181819,16.36894579858712
65.2,22.019867549668874,83.28311258278146,2.0648967551622377
70.3,5.914718019257221,95.56396148555709,0.8680393255993124
77.2,0.5910165484633569,99.55673758865248,-0.1879699248120481
55.7,14.772727272727273,88.92045454545455,1.473359048768641
67.2,9.659613615455381,92.75528978840846,11.07004206421125
68.0,9.01639344262295,93.23770491803279,1.3892841906268272
49.0,51.22615803814714,57.89645776566758,13.428120063191162
64.4,18.72427983539095,85.95679012345678,40.97175128875246
16.0,99.8360655737705,12.163934426229503,25.83243823845327
70.0,85.06849315068493,26.93150684931507,-27.004909983633386
50.9,79.24970691676437,32.67526377491207,-3.15581854043393
58.4,73.559670781893,37.7962962962963,-17.160286001163037
69.4,57.495429616087755,52.25411334552102,-1.1511895625479718
73.4,45.67188788128607,62.895300906842536,24.67043314500943
63.7,9.01639344262295,93.23770491803279,-7.125307125307123
65.9,5.177111716621254,96.11716621253406,7.14285714285714
50.3,34.15637860082305,72.96707818930041,3.0660377358490587
64.8,3.934426229508197,97.04918032786885,7.196029776674928
72.2,0.136986301369863,99.8972602739726,3.910438804281835
68.8,0.23446658851113714,99.82415005861665,2.499999999999991
